coordinates,timestamps
"[[334218.4990183314, 7399915.200292639], [334218.4990183314, 7399915.200292639], [334218.4990183314, 7399915.200292639], [334218.4990183314, 7399915.200292639], [334218.4990183314, 7399915.200292639], [334218.4990183314, 7399915.200292639]]","[0, 44, 221, 265, 309, 354]"
"[[326840.97863986774, 7376460.727149336], [326829.4871466805, 7376549.944677429], [326703.78597941174, 7376956.701694109], [326649.8166454425, 7377197.62236038], [326538.92949281435, 7377745.592545837], [326611.12421451753, 7378145.199261872]]","[0, 45, 154, 221, 303, 336]"
"[[325845.56047985074, 7371947.913086874], [325845.56047985074, 7371947.913086874], [325845.56047985074, 7371947.913086874], [325845.56047985074, 7371947.913086874], [325845.56047985074, 7371947.913086874], [325845.56047985074, 7371947.913086874]]","[0, 45, 180, 225, 315, 360]"
"[[325750.34247164626, 7371799.347019161], [325898.51917867246, 7371591.847272073], [326569.86786201247, 7371712.5961973285], [326569.86786201247, 7371712.5961973285], [326755.67715986335, 7371826.768950167], [326788.4166296042, 7371944.980579579]]","[0, 45, 200, 245, 319, 364]"
"[[326918.8942532693, 7372573.824378299], [326848.13805548043, 7372787.298420912], [326890.52564656467, 7373348.744245584], [326881.2293718073, 7373572.311224565], [327221.81251346617, 7373569.118316827], [327346.00278409594, 7373744.377970325]]","[0, 45, 180, 225, 315, 360]"
"[[326954.86738512246, 7374412.189283652], [326910.2428418776, 7374580.065858671], [326786.2077203291, 7374968.06937982], [326757.5392198049, 7375157.23566376], [326925.6961669102, 7375515.77475793], [326877.62430497014, 7375797.193296071]]","[0, 50, 199, 244, 289, 335]"
"[[325102.9752118682, 7370448.02435882], [325102.9752118682, 7370448.02435882], [325113.7248476121, 7370545.512638325], [329138.1656526669, 7370245.87904132], [324984.93050087563, 7370435.328431913], [325023.1049087666, 7370321.567885439]]","[0, 45, 197, 242, 332, 377]"
"[[329138.1656526669, 7370245.87904132], [329103.58564771165, 7370297.582758276], [329103.58564771165, 7370297.582758276], [329103.58564771165, 7370297.582758276], [329103.58564771165, 7370297.582758276], [329103.58564771165, 7370297.582758276]]","[0, 23, 203, 248, 293, 338]"
"[[342474.3825173754, 7395186.5233142115], [328576.82118495076, 7370361.07929655], [342682.89451042295, 7395088.483980982], [328466.0586024276, 7370555.478209766], [343122.8476676706, 7394880.12829246], [327747.1478551749, 7370490.735552215], [343286.4467204367, 7394802.890558469], [327510.00632596493, 7370776.108323801], [327229.00792183477, 7370994.167001219], [343706.6416908258, 7394603.803371844], [327109.21061959356, 7370796.942938581], [343914.63268830907, 7394506.295722519], [326955.3027941194, 7370507.158243127]]","[0, 2, 45, 47, 180, 182, 225, 227, 287, 315, 332, 360, 377]"
"[[329446.6585647098, 7404890.587256402], [329446.6585647098, 7404890.587256402], [329446.6585647098, 7404890.587256402], [329446.6585647098, 7404890.587256402], [329446.6585647098, 7404890.587256402], [329446.6585647098, 7404890.587256402]]","[0, 45, 180, 225, 316, 361]"
"[[329394.0727987364, 7405283.705303058], [329515.8388359392, 7405220.382644158], [329674.1742515253, 7404703.782068785], [329446.6585647098, 7404890.587256402], [329446.6585647098, 7404890.587256402], [329446.6585647098, 7404890.587256402]]","[0, 45, 181, 226, 316, 360]"
"[[329446.6585647098, 7404890.587256402], [329446.6585647098, 7404890.587256402], [329605.0293928336, 7403948.030100418], [329538.5870611592, 7403757.040248545], [329717.9283914984, 7403573.331256295], [329773.9440446871, 7403513.619882166]]","[0, 45, 180, 225, 315, 361]"
"[[329446.6585647098, 7404890.587256402], [329446.6585647098, 7404890.587256402], [329446.6585647098, 7404890.587256402], [329446.6585647098, 7404890.587256402], [329446.6585647098, 7404890.587256402], [329446.6585647098, 7404890.587256402]]","[0, 45, 180, 225, 315, 360]"
"[[329978.9036631999, 7401661.953787012], [329965.0358487972, 7401468.002097323], [329952.89885973535, 7401085.069328612], [330203.1755186691, 7401041.243383022], [330269.86761218077, 7400966.079621547], [330305.33170041104, 7400832.007417021]]","[0, 45, 180, 225, 315, 360]"
"[[329885.5629790076, 7399419.853357071], [329836.368905697, 7399443.094648659], [329728.0482286426, 7399436.714859037], [329871.61408128403, 7399156.374084732], [329836.9796662349, 7398587.499601565], [329802.81334357284, 7398326.083281474]]","[0, 45, 179, 224, 314, 359]"
"[[329730.2716099245, 7403099.061927669], [329719.15359377704, 7403062.27362047], [329308.7303251609, 7402618.813624868], [329147.9400737585, 7402365.421537289], [329130.84894811746, 7402196.876675412], [329131.54333506594, 7402163.547822133]]","[0, 45, 217, 262, 307, 352]"
"[[329446.6585647098, 7404890.587256402], [329446.6585647098, 7404890.587256402], [329446.6585647098, 7404890.587256402], [329446.6585647098, 7404890.587256402], [329446.6585647098, 7404890.587256402], [329446.6585647098, 7404890.587256402]]","[0, 45, 180, 225, 270, 360]"
"[[328916.9728563801, 7396966.445587475], [328863.3885571659, 7396924.5634804685], [328947.90889579593, 7396988.902449459], [329199.8273049885, 7397156.755637151], [329568.1003526245, 7397260.613043739], [329446.6585647098, 7404890.587256402]]","[0, 45, 180, 225, 322, 366]"
"[[329446.6585647098, 7404890.587256402], [329446.6585647098, 7404890.587256402], [329446.6585647098, 7404890.587256402], [329446.6585647098, 7404890.587256402], [329446.6585647098, 7404890.587256402], [329446.6585647098, 7404890.587256402]]","[0, 45, 180, 225, 270, 315]"
"[[324332.4936110659, 7389830.714904485], [324472.8606656408, 7389362.538550971], [324041.0404579155, 7388795.600958016], [324041.0404579155, 7388795.600958016], [323983.5551449519, 7388471.492577646], [323983.5551449519, 7388471.492577646]]","[0, 63, 210, 255, 300, 345]"
"[[323178.4500390227, 7387646.7389599625], [323015.3669206948, 7387574.429335572], [322492.28103055374, 7387249.529405255], [322492.28103055374, 7387249.529405255], [322373.9038736009, 7387437.266094936], [322319.1883517567, 7387526.204439855]]","[0, 45, 225, 225, 315, 360]"
"[[321826.0460833942, 7387282.775805612], [321826.0460833942, 7387282.775805612], [321826.0460833942, 7387282.775805612], [321826.0460833942, 7387282.775805612], [321826.0460833942, 7387282.775805612], [321826.0460833942, 7387282.775805612]]","[0, 45, 180, 225, 315, 361]"
"[[324063.27130157873, 7390593.312840605], [324063.27130157873, 7390593.312840605], [324063.27130157873, 7390593.312840605], [324012.7834282748, 7390856.752625622], [324029.4470732462, 7390837.792152899], [324063.27130157873, 7390593.312840605]]","[0, 45, 196, 246, 313, 358]"
"[[321826.0460833942, 7387282.775805612], [321823.09780802386, 7387265.128939729], [321823.09780802386, 7387265.128939729], [321823.09780802386, 7387265.128939729], [321823.09780802386, 7387265.128939729], [321823.09780802386, 7387265.128939729]]","[0, 45, 180, 225, 315, 360]"
"[[321818.3340229568, 7387249.896618179], [321818.3340229568, 7387249.896618179], [321818.3340229568, 7387249.896618179], [321818.3340229568, 7387249.896618179], [321767.3727415674, 7387206.742148858], [321984.10090952914, 7387310.145658933]]","[0, 46, 181, 226, 311, 344]"
"[[321629.79513832135, 7380595.141068224], [321273.79282891046, 7380566.486702435], [320587.3821854261, 7380797.6415450405], [320587.3821854261, 7380797.6415450405], [320491.0987506232, 7381097.947145896], [320296.4889057079, 7381214.668998878]]","[0, 75, 216, 216, 306, 351]"
"[[317387.6879802466, 7379456.076496005], [317408.60364232643, 7379329.846985145], [317900.2299697723, 7378673.647513619], [317804.00908618374, 7378733.306212182], [317543.70973717514, 7378785.4227322405], [317407.69786094315, 7378589.933344286]]","[0, 45, 180, 225, 275, 320]"
"[[317412.9495846458, 7378594.097587189], [317412.9495846458, 7378594.097587189], [317412.9495846458, 7378594.097587189], [317412.9495846458, 7378594.097587189], [317412.9495846458, 7378594.097587189], [317412.9495846458, 7378594.097587189]]","[0, 45, 225, 270, 315, 360]"
"[[317402.5536905661, 7378585.327395078], [317399.37804748764, 7378582.352253203], [317402.5536905661, 7378585.327395078], [317402.5536905661, 7378585.327395078], [317402.5536905661, 7378585.327395078], [317402.5536905661, 7378585.327395078]]","[0, 45, 181, 181, 181, 181]"
"[[320243.8112250776, 7381203.19130436], [320031.8347875997, 7381175.123266837], [319498.6100409065, 7381089.211954596], [319283.59636090684, 7381156.97381849], [319203.1469209402, 7381097.117930776], [319196.8181528228, 7381068.684091372]]","[0, 45, 180, 225, 315, 360]"
"[[319203.2686750037, 7381120.158035126], [319203.1469209402, 7381097.117930776], [319130.8687851863, 7380760.609107532], [319105.7974952813, 7380610.989409901], [319001.4008038385, 7380507.346051299], [318938.8758006905, 7380461.542826112]]","[0, 45, 180, 225, 270, 315]"
"[[317419.1346883783, 7378601.098032184], [317419.1346883783, 7378601.098032184], [317419.1346883783, 7378601.098032184], [317419.1346883783, 7378601.098032184], [317419.1346883783, 7378601.098032184], [317419.1346883783, 7378601.098032184]]","[0, 45, 225, 270, 315, 360]"
"[[329285.9031556825, 7402115.310548786], [329174.39823581843, 7402038.47928599], [329285.9031556825, 7402115.310548786], [329285.9031556825, 7402115.310548786], [329285.9031556825, 7402115.310548786], [329285.9031556825, 7402115.310548786]]","[0, 44, 177, 222, 266, 310]"
"[[329133.8314346066, 7402098.617265739], [329133.8314346066, 7402098.617265739], [329144.1666430304, 7402097.131623164], [329133.8314346066, 7402098.617265739], [329144.1666430304, 7402097.131623164], [329144.1666430304, 7402097.131623164]]","[0, 44, 178, 222, 310, 355]"
