coordinates,timestamps
"[[326889.5836625607, 7380483.968552901], [326793.4236114817, 7380602.137979487], [326998.67550483975, 7381137.423591747], [327175.1681375501, 7381590.637905392], [327366.98254061193, 7381940.057018317], [327351.941841395, 7382084.597322121]]","[0, 45, 191, 236, 326, 371]"
"[[327679.5110484833, 7377175.872707261], [327522.74935638794, 7377093.103089843], [327303.297673495, 7377338.178620925], [327533.28640776884, 7377887.059689235], [327332.87733766704, 7378500.688598376], [327133.53944948455, 7378568.484135445]]","[0, 45, 135, 201, 291, 336]"
"[[328762.03648826573, 7375894.860912375], [328762.03648826573, 7375894.860912375], [328762.03648826573, 7375894.860912375], [328762.03648826573, 7375894.860912375], [328762.03648826573, 7375894.860912375], [328762.03648826573, 7375894.860912375]]","[0, 45, 181, 226, 271, 316]"
"[[328762.03648826573, 7375894.860912375], [328762.03648826573, 7375894.860912375], [328762.03648826573, 7375894.860912375], [328762.03648826573, 7375894.860912375], [328762.03648826573, 7375894.860912375], [328762.03648826573, 7375894.860912375]]","[0, 45, 90, 90, 90, 90]"
"[[327362.0983664907, 7379896.365430293], [327055.65064534143, 7380278.272795854], [326802.029218396, 7380702.919608786], [326911.8433066639, 7380867.899469076], [327075.6202580546, 7381372.24521412], [327193.97949375375, 7381625.888463559]]","[0, 45, 204, 245, 290, 335]"
"[[325463.74753289437, 7383049.504133517], [325463.74753289437, 7383049.504133517], [325463.74753289437, 7383049.504133517], [325433.16650985304, 7383036.60796793], [325642.6097249644, 7383021.063826003], [325793.41694011434, 7383037.129047126]]","[0, 45, 180, 226, 294, 339]"
"[[329014.16397695185, 7375499.271760412], [328823.0258854641, 7375371.031783424], [328456.36609107314, 7375105.479812404], [328389.90033560916, 7374884.063950889], [327983.97173519165, 7375266.301972397], [327884.5908077938, 7375404.73444267]]","[0, 45, 180, 225, 315, 360]"
"[[342389.22057192883, 7388863.709369842], [342389.22057192883, 7388863.709369842], [342389.22057192883, 7388863.709369842], [342389.22057192883, 7388863.709369842], [342389.22057192883, 7388863.709369842], [342389.22057192883, 7388863.709369842]]","[0, 45, 180, 225, 315, 360]"
"[[342389.22057192883, 7388863.709369842], [342389.22057192883, 7388863.709369842], [342389.22057192883, 7388863.709369842], [342389.22057192883, 7388863.709369842], [342389.22057192883, 7388863.709369842], [342389.22057192883, 7388863.709369842]]","[0, 45, 180, 225, 315, 360]"
"[[338234.156460021, 7391087.809989827], [338218.1024382251, 7391127.225545751], [338848.9004568028, 7391522.182115676], [338873.24073259695, 7391534.245401891], [338904.85521395365, 7391549.683651479], [338980.8472165895, 7391587.234818942]]","[0, 45, 180, 225, 270, 315]"
"[[342384.2472248455, 7388861.163822361], [342384.2472248455, 7388861.163822361], [342384.2472248455, 7388861.163822361], [342384.2472248455, 7388861.163822361], [342384.2472248455, 7388861.163822361], [342384.2472248455, 7388861.163822361]]","[0, 45, 181, 225, 316, 361]"
"[[342237.0088783596, 7388773.299889976], [342237.0088783596, 7388773.299889976], [342237.0088783596, 7388773.299889976], [342237.0088783596, 7388773.299889976], [342163.4828135816, 7388664.192656338], [342048.27072540636, 7388564.269021846]]","[0, 45, 225, 225, 325, 370]"
"[[339310.3478630615, 7390807.264314009], [338915.01890755515, 7390713.47973014], [338750.64098150964, 7390807.340610677], [338681.24879467464, 7390860.039221633], [338495.92767505214, 7390873.27522249], [338466.7282040956, 7390885.3841293845]]","[0, 45, 180, 225, 301, 346]"
"[[341482.5465480289, 7388280.210343052], [341444.9803083543, 7388267.066062784], [340664.6000447568, 7388554.101437898], [340430.1163999095, 7388503.52958905], [340310.63943603967, 7388496.02078178], [340255.3138306873, 7388543.646848193]]","[0, 31, 211, 256, 301, 346]"
"[[338728.2500245579, 7392309.142985915], [338728.2500245579, 7392309.142985915], [338728.2500245579, 7392309.142985915], [338728.2500245579, 7392309.142985915], [338728.2500245579, 7392309.142985915], [338728.2500245579, 7392309.142985915]]","[0, 45, 180, 225, 270, 315]"
"[[341317.54630108684, 7389691.189198425], [341372.86860707134, 7389813.005156757], [340955.43194658845, 7389980.790399173], [340908.90311935847, 7390012.34550074], [340908.90311935847, 7390012.34550074], [340881.57401137776, 7389991.33763841]]","[0, 45, 225, 270, 315, 360]"
"[[342237.0088783596, 7388773.299889976], [342237.0088783596, 7388773.299889976], [342237.0088783596, 7388773.299889976], [342237.0088783596, 7388773.299889976], [342237.0088783596, 7388773.299889976], [342237.0088783596, 7388773.299889976]]","[0, 45, 180, 225, 315, 360]"
"[[339106.3818101807, 7394395.87587039], [339084.046076919, 7394590.992560705], [339063.4718039361, 7395187.6234291615], [339088.667376355, 7395273.399076637], [339060.95933775883, 7395384.785326353], [338946.0580891163, 7395553.66054745]]","[0, 45, 180, 225, 270, 315]"
"[[339010.8498077942, 7393919.791887811], [339037.3009227463, 7394030.361990815], [339048.56507270323, 7394686.262308244], [338877.90427449415, 7395089.672616301], [339063.4718039361, 7395187.6234291615], [339077.8916198382, 7395315.531547122]]","[0, 45, 180, 225, 315, 360]"
"[[342389.22057192883, 7388863.709369842], [342389.22057192883, 7388863.709369842], [342389.22057192883, 7388863.709369842], [342389.22057192883, 7388863.709369842], [342389.22057192883, 7388863.709369842], [342389.22057192883, 7388863.709369842]]","[0, 45, 180, 225, 270, 315]"
"[[342214.3129339728, 7388739.16543515], [342214.3129339728, 7388739.16543515], [342214.3129339728, 7388739.16543515], [342214.3129339728, 7388739.16543515], [342163.4828135816, 7388664.192656338], [341899.1385593838, 7388604.572736041]]","[0, 45, 187, 232, 270, 315]"
"[[341446.042296362, 7389428.282435407], [341337.2900738209, 7389532.035789647], [340991.39646012953, 7389649.32189926], [340953.9622638803, 7389572.220304191], [341068.0563210666, 7389280.420109776], [341131.7088561864, 7389093.614411674]]","[0, 44, 177, 221, 310, 354]"
"[[345345.20150596206, 7389340.476404887], [345115.51846130926, 7389369.133779736], [344662.92128625495, 7389442.208346082], [344644.43392385927, 7389467.53892188], [344602.39999583317, 7389528.445680743], [344538.72306586296, 7389623.425941769]]","[0, 45, 177, 222, 266, 310]"
"[[350962.52321021014, 7393829.742150705], [350942.89821055694, 7393691.860010866], [351159.76864687755, 7393377.175488846], [351274.8462093995, 7393163.61428968], [351158.48181286704, 7392773.99662528], [351127.0255542877, 7392449.72301578]]","[0, 44, 177, 221, 310, 354]"
"[[349816.81486950105, 7388544.280752403], [349617.8593426522, 7388203.18585139], [349325.27133444184, 7387952.374972483], [349037.19256973255, 7387883.116004275], [348742.6436459812, 7387906.644289048], [348497.39499778766, 7388145.193135675]]","[0, 44, 177, 221, 309, 353]"
"[[351584.481032345, 7396428.427284705], [351584.481032345, 7396428.427284705], [351584.481032345, 7396428.427284705], [351584.481032345, 7396428.427284705], [351584.481032345, 7396428.427284705], [351584.481032345, 7396428.427284705]]","[0, 44, 177, 222, 310, 310]"
"[[319693.6675898884, 7381095.285803586], [319693.6675898884, 7381095.285803586], [319693.6675898884, 7381095.285803586], [319693.6675898884, 7381095.285803586], [319693.6675898884, 7381095.285803586], [319693.6675898884, 7381095.285803586]]","[0, 44, 176, 220, 309, 309]"
"[[319664.6842555461, 7381071.444994241], [319664.6842555461, 7381071.444994241], [319664.6842555461, 7381071.444994241], [319664.6842555461, 7381071.444994241], [319664.6842555461, 7381071.444994241], [319664.6842555461, 7381071.444994241]]","[0, 44, 221, 221, 310, 354]"
"[[323149.19645621505, 7383190.360383937], [337580.2172534031, 7397137.9958910635], [323149.19645621505, 7383190.360383937], [337311.0677340345, 7397196.973893306], [336209.9632186291, 7397788.932129882], [322885.9880134014, 7382431.168406274], [335926.5476914635, 7397763.583488057], [322895.4337961771, 7382290.008770319], [322913.911204809, 7382133.9510018695], [335587.1411307143, 7397745.270651197], [322791.92489471205, 7381691.4189789], [335482.0817027193, 7397783.906437612], [322764.3927344921, 7381598.211164705]]","[0, 28, 44, 72, 205, 221, 249, 265, 309, 338, 365, 382, 398]"
"[[335049.178913477, 7399172.289781551], [335049.178913477, 7399172.289781551], [334098.26746165147, 7399009.124842781], [334099.4704531359, 7399074.301956603], [334103.5384326017, 7399306.012700761], [334108.70515241486, 7399622.336155137]]","[0, 44, 177, 221, 265, 317]"
"[[330284.79371769144, 7403759.920598187], [330120.2976298538, 7403795.675411319], [330136.368259059, 7404230.511917736], [330261.23796861735, 7404268.94642962], [330876.8531539878, 7404026.685138341], [331080.92481046764, 7404343.293259188]]","[0, 45, 205, 222, 310, 354]"
"[[330520.4732953672, 7404898.024572271], [330520.4732953672, 7404898.024572271], [330520.4732953672, 7404898.024572271], [330520.4732953672, 7404898.024572271], [330520.4732953672, 7404898.024572271], [330520.4732953672, 7404898.024572271]]","[0, 44, 177, 221, 265, 309]"
"[[330520.4732953672, 7404898.024572271], [330490.3097748221, 7404895.461674344], [330520.4732953672, 7404898.024572271], [330490.3097748221, 7404895.461674344], [330490.3097748221, 7404895.461674344], [330490.3097748221, 7404895.461674344]]","[0, 44, 177, 221, 309, 354]"
"[[323168.3663340375, 7365456.498607945], [323322.67337288265, 7364906.623804029], [323517.68820484215, 7363935.836388087], [323655.0718659412, 7363770.609695805], [323731.8804277312, 7363081.457115565], [323604.5961973126, 7362703.1719312295]]","[0, 48, 184, 210, 300, 356]"
"[[327043.8275034989, 7373937.98375801], [327043.8275034989, 7373937.98375801], [327043.8275034989, 7373937.98375801], [327043.8275034989, 7373937.98375801], [327043.8275034989, 7373937.98375801], [327043.8275034989, 7373937.98375801]]","[0, 45, 180, 225, 315, 360]"
"[[319836.1092370319, 7360655.261791065], [319399.5519944235, 7360474.626645071], [318703.51125707146, 7360997.18011769], [318715.98890640633, 7360956.824458102], [319011.1515943059, 7360609.543325862], [319011.1515943059, 7360609.543325862]]","[0, 38, 206, 214, 309, 309]"
"[[327043.8275034989, 7373937.98375801], [327043.8275034989, 7373937.98375801], [327043.8275034989, 7373937.98375801], [327043.8275034989, 7373937.98375801], [327043.8275034989, 7373937.98375801], [327043.8275034989, 7373937.98375801]]","[0, 45, 180, 225, 270, 315]"
"[[326041.2252153148, 7373283.920345036], [326019.8767898318, 7373372.1611179], [326121.30012143904, 7373387.05645641], [326035.151678604, 7373220.769894097], [326013.82155728864, 7373018.599180723], [325915.42871487513, 7372717.591568467]]","[0, 45, 180, 225, 300, 338]"
"[[338392.35541717324, 7390812.629178314], [338392.35541717324, 7390812.629178314], [338392.35541717324, 7390812.629178314], [338392.35541717324, 7390812.629178314], [338327.3557107402, 7390902.946896594], [338317.1530844291, 7390948.629317641]]","[0, 45, 163, 208, 314, 320]"
"[[348096.24920164293, 7387830.43569908], [348325.88316981844, 7388036.430928931], [348756.19074419927, 7387884.469487635], [348854.08629276, 7387881.386379398], [348983.1032393626, 7388144.8015235765], [349047.2661697217, 7388337.22111629]]","[0, 45, 180, 225, 320, 365]"
"[[341427.25473097194, 7391241.121924469], [341657.41940283205, 7391178.857699079], [342379.3816079754, 7390673.51125433], [342425.49047012714, 7390614.509123238], [342425.49047012714, 7390614.509123238], [342552.2946851919, 7390429.140873045]]","[0, 45, 204, 249, 294, 339]"
"[[339477.3033796374, 7391487.6226587575], [339688.4875338868, 7391419.171908696], [340720.53312357236, 7391307.0555319525], [340959.6542098538, 7391315.640616926], [341236.21935115487, 7391288.27532973], [341427.25473097194, 7391241.121924469]]","[0, 45, 180, 225, 270, 315]"
"[[344516.55233878095, 7389654.365283547], [344568.81766441674, 7389579.17048304], [345115.51846130926, 7389369.133779736], [345263.9511819645, 7389351.133173417], [345685.9238970787, 7389200.775258604], [345769.79308217415, 7389101.504824913]]","[0, 45, 178, 223, 298, 343]"
"[[348948.9289187448, 7388104.191816065], [348948.9289187448, 7388104.191816065], [348948.9289187448, 7388104.191816065], [348948.9289187448, 7388104.191816065], [348948.9289187448, 7388104.191816065], [348948.9289187448, 7388104.191816065]]","[0, 45, 225, 225, 315, 360]"
"[[330765.3597794713, 7403536.704498809], [331008.2446410784, 7403493.704500392], [331414.4030911946, 7403373.775007168], [331472.4184928912, 7403401.7412571525], [331497.5806483621, 7403416.981516998], [331497.5806483621, 7403416.981516998]]","[0, 44, 221, 265, 310, 354]"
"[[332148.825671774, 7404812.769919885], [332148.825671774, 7404812.769919885], [332148.825671774, 7404812.769919885], [332148.825671774, 7404812.769919885], [332148.825671774, 7404812.769919885], [332148.825671774, 7404812.769919885]]","[0, 52, 177, 221, 309, 354]"
"[[333046.9122984507, 7395468.99024016], [333046.9122984507, 7395468.99024016], [333046.9122984507, 7395468.99024016], [333046.9122984507, 7395468.99024016], [333046.9122984507, 7395468.99024016], [333051.3824380747, 7395497.836922362]]","[0, 44, 221, 266, 325, 354]"
"[[331627.6482775421, 7397526.673554346], [331704.4353688775, 7397565.364143467], [331857.0972086452, 7397345.264650213], [331631.2257571561, 7397244.266297069], [331193.87893032515, 7397306.931339294], [330999.0159249725, 7397423.066412314]]","[0, 44, 177, 222, 310, 354]"
"[[329855.15893158625, 7397762.814266541], [329738.87995853974, 7397833.758405719], [329804.95395221654, 7398229.69670316], [329870.88295894454, 7398642.910193825], [329219.3755781216, 7398671.301636543], [329177.40486770833, 7398866.875521741]]","[0, 44, 177, 221, 309, 354]"
"[[332435.6524147756, 7396000.4869599445], [332435.6524147756, 7396000.4869599445], [332734.42312273826, 7395642.945871859], [332734.42312273826, 7395642.945871859], [332190.9478866835, 7404828.368551731], [333046.9122984507, 7395468.99024016]]","[0, 40, 173, 217, 305, 350]"
"[[332148.825671774, 7404812.769919885], [332148.825671774, 7404812.769919885], [332148.825671774, 7404812.769919885], [332148.825671774, 7404812.769919885], [332148.825671774, 7404812.769919885], [332148.825671774, 7404812.769919885]]","[0, 46, 223, 267, 311, 385]"
"[[329132.5456066438, 7402134.486578019], [329132.5456066438, 7402134.486578019], [329453.29033151065, 7402794.5566383265], [329523.8585258529, 7402849.58994675], [329592.98655370437, 7402903.318652216], [329627.3106389671, 7402929.96549934]]","[0, 0, 176, 220, 264, 309]"
"[[332083.8914484737, 7378651.167876542], [332290.451030727, 7378741.769660624], [332365.3143946299, 7378940.677686336], [332420.79523657344, 7379153.344543201], [332668.165098066, 7379396.560444354], [332797.3027771065, 7379397.963203592]]","[0, 45, 177, 221, 310, 354]"
"[[331616.12401101657, 7387641.814167184], [331701.3905945552, 7387426.245304146], [331914.74267779256, 7386886.396085114], [332042.64259076223, 7386562.4730743095], [332224.01390897343, 7386104.002716636], [332224.01390897343, 7386104.002716636]]","[0, 44, 177, 222, 310, 310]"
"[[327004.51801616035, 7387632.494495651], [327004.51801616035, 7387632.494495651], [327004.51801616035, 7387632.494495651], [327004.51801616035, 7387632.494495651], [327004.51801616035, 7387632.494495651], [327004.51801616035, 7387632.494495651]]","[0, 44, 221, 267, 311, 359]"
"[[332776.6536511506, 7379397.504187012], [332814.4857345894, 7379398.271574851], [333434.97523214546, 7379519.194431776], [333452.4223425847, 7379630.010488616], [333477.8773445827, 7379758.583562006], [333423.35957031953, 7379838.64381279]]","[0, 44, 221, 265, 310, 356]"
"[[331410.6784792526, 7379725.125711786], [331410.6784792526, 7379725.125711786], [331232.32524147956, 7379365.370637115], [331188.7232593932, 7379251.007336817], [331106.00535478466, 7379154.29800881], [331119.57024102286, 7379119.235217214]]","[0, 44, 177, 221, 265, 310]"
"[[327744.6303042595, 7389532.76582206], [327642.5654657842, 7389583.049286084], [327432.8529237738, 7388965.125438428], [327346.28009264386, 7388693.910702486], [327213.1659683055, 7388281.870600996], [327139.83747302217, 7388053.258244768]]","[0, 44, 177, 221, 310, 354]"
"[[329264.4503955495, 7388485.258024387], [329264.4503955495, 7388485.258024387], [329040.91477049934, 7388632.756945424], [328855.0593548106, 7388722.810800928], [328670.691096521, 7388813.129107797], [328632.63456218375, 7388831.510889923]]","[0, 44, 176, 220, 309, 371]"
"[[331410.6784792526, 7379725.125711786], [331410.6784792526, 7379725.125711786], [331410.6784792526, 7379725.125711786], [331410.6784792526, 7379725.125711786], [331410.6784792526, 7379725.125711786], [331410.6784792526, 7379725.125711786]]","[0, 45, 178, 222, 311, 355]"
"[[330945.2962596305, 7388427.213246202], [330751.63218493795, 7388535.252791769], [330375.89670932735, 7388093.435717168], [330282.072547472, 7387983.181663652], [330089.9161054106, 7388089.928586474], [330067.9847302842, 7388108.667738367]]","[0, 44, 176, 221, 309, 353]"
"[[327051.22541031835, 7387510.634009715], [327051.22541031835, 7387510.634009715], [327051.22541031835, 7387510.634009715], [327051.22541031835, 7387510.634009715], [327051.22541031835, 7387510.634009715], [327051.22541031835, 7387510.634009715]]","[0, 44, 176, 221, 309, 353]"
"[[332651.51865344204, 7386270.40941779], [332785.4737576799, 7386255.250092384], [332621.75171752664, 7386249.993544795], [332520.0919892751, 7386127.6056659855], [332297.5689644308, 7385986.992475867], [332181.02332119714, 7386212.9886806775]]","[0, 31, 164, 208, 299, 341]"
"[[332592.94593517785, 7385021.951769423], [332596.4445278896, 7385148.196531255], [332577.07633314497, 7386017.173664122], [332577.07633314497, 7386017.173664122], [332602.6067129511, 7386168.784756312], [332699.44081136386, 7386264.923264988]]","[0, 30, 163, 208, 296, 340]"
"[[331410.6784792526, 7379725.125711786], [331410.6784792526, 7379725.125711786], [331410.6784792526, 7379725.125711786], [331410.6784792526, 7379725.125711786], [331410.6784792526, 7379725.125711786], [331410.6784792526, 7379725.125711786]]","[0, 44, 177, 221, 266, 354]"
"[[331410.6784792526, 7379725.125711786], [331410.6784792526, 7379725.125711786], [331410.6784792526, 7379725.125711786], [331410.6784792526, 7379725.125711786], [331410.6784792526, 7379725.125711786], [331410.6784792526, 7379725.125711786]]","[0, 45, 177, 222, 310, 355]"
"[[340754.3132630558, 7396747.405329961], [340798.39979147987, 7396763.94313571], [341518.0975345275, 7397103.604931565], [341578.53447421105, 7397282.092224527], [341785.4952554724, 7397546.109054367], [341813.71553502954, 7397559.371265991]]","[0, 8, 185, 229, 273, 318]"
"[[335274.29633267724, 7395644.708138136], [335297.2435842599, 7395660.74841249], [335940.24106754694, 7395884.76370539], [336221.5301651779, 7395932.62872312], [336321.65679497813, 7395950.2503007315], [336321.65679497813, 7395950.2503007315]]","[0, 44, 177, 221, 265, 265]"
"[[342086.8695743122, 7397902.92226321], [341989.6532949477, 7398172.569189451], [341766.62590159546, 7398455.476606263], [341710.6681561796, 7398672.353200674], [341655.68046554044, 7399092.406737677], [341915.61832006753, 7399246.991381802]]","[0, 58, 177, 221, 309, 355]"
"[[354684.06507363974, 7398295.6907572765], [354684.06507363974, 7398295.6907572765], [354684.06507363974, 7398295.6907572765], [354684.06507363974, 7398295.6907572765], [354684.06507363974, 7398295.6907572765], [354684.06507363974, 7398295.6907572765]]","[0, 44, 177, 221, 265, 354]"
"[[354812.32288394484, 7398337.693981651], [354719.85523328197, 7398286.224221434], [354719.85523328197, 7398286.224221434], [354719.85523328197, 7398286.224221434], [354719.85523328197, 7398286.224221434], [354719.85523328197, 7398286.224221434]]","[0, 28, 205, 230, 317, 338]"
"[[354684.06507363974, 7398295.6907572765], [354684.06507363974, 7398295.6907572765], [354684.06507363974, 7398295.6907572765], [354684.06507363974, 7398295.6907572765], [354684.06507363974, 7398295.6907572765], [354684.06507363974, 7398295.6907572765]]","[0, 0, 176, 221, 265, 309]"
"[[341915.61832006753, 7399246.991381802], [342070.78414637584, 7399238.308687467], [342734.4521311795, 7399660.799275285], [343172.4942643689, 7399943.049612413], [343972.4234247452, 7400309.126176255], [344257.91329172277, 7400300.227251419]]","[0, 12, 145, 189, 284, 322]"
"[[333529.160802542, 7395057.1117957365], [333529.160802542, 7395057.1117957365], [333529.160802542, 7395057.1117957365], [333529.160802542, 7395057.1117957365], [333529.160802542, 7395057.1117957365], [333529.160802542, 7395057.1117957365]]","[0, 44, 177, 221, 321, 354]"
"[[354684.06507363974, 7398295.6907572765], [354684.06507363974, 7398295.6907572765], [354684.06507363974, 7398295.6907572765], [354684.06507363974, 7398295.6907572765], [354684.06507363974, 7398295.6907572765], [354684.06507363974, 7398295.6907572765]]","[0, 46, 179, 223, 311, 355]"
"[[332293.6192498676, 7404229.763609137], [332293.6192498676, 7404229.763609137], [332293.6192498676, 7404229.763609137], [332293.6192498676, 7404229.763609137], [332293.6192498676, 7404229.763609137], [332293.6192498676, 7404229.763609137]]","[0, 0, 177, 221, 266, 310]"
"[[334762.85579085816, 7401093.616018793], [334762.85579085816, 7401093.616018793], [334743.9977336533, 7401269.276260648], [334594.16478640074, 7401292.507189059], [334455.9624680547, 7401504.864644203], [334312.84328112536, 7401592.528915431]]","[0, 54, 169, 214, 304, 349]"
"[[334762.85579085816, 7401093.616018793], [334762.85579085816, 7401093.616018793], [334762.85579085816, 7401093.616018793], [334762.85579085816, 7401093.616018793], [334762.85579085816, 7401093.616018793], [334762.85579085816, 7401093.616018793]]","[0, 45, 180, 225, 315, 360]"
"[[332293.6192498676, 7404229.763609137], [332293.6192498676, 7404229.763609137], [332293.6192498676, 7404229.763609137], [332293.6192498676, 7404229.763609137], [332293.6192498676, 7404229.763609137], [332293.6192498676, 7404229.763609137]]","[0, 45, 180, 225, 315, 360]"
"[[332654.7361199367, 7403526.066179082], [332765.62464143126, 7403473.2821867475], [332910.0797676956, 7403105.624512445], [332868.1510937591, 7403077.902490325], [333100.51691674214, 7402842.110519138], [333141.0634706834, 7402764.422153341]]","[0, 44, 177, 221, 310, 354]"
"[[332293.6192498676, 7404229.763609137], [332293.6192498676, 7404229.763609137], [332293.6192498676, 7404229.763609137], [332293.6192498676, 7404229.763609137], [332293.6192498676, 7404229.763609137], [332293.6192498676, 7404229.763609137]]","[0, 45, 180, 225, 270, 315]"
"[[332293.6192498676, 7404229.763609137], [332293.6192498676, 7404229.763609137], [332701.59681189945, 7404116.629963972], [332750.84498766996, 7404120.900819615], [332750.84498766996, 7404120.900819615], [332831.4001506715, 7404112.403665346]]","[0, 45, 223, 267, 311, 356]"
"[[333441.34587737266, 7402121.983576138], [333409.423603312, 7402112.871981911], [333883.07659605483, 7401850.110280694], [334143.7645457781, 7401884.594590828], [334163.87310519244, 7401616.997577956], [334154.6194017195, 7401441.518359567]]","[0, 44, 221, 266, 312, 354]"
"[[350069.3828718563, 7397996.932782591], [350100.40260114043, 7398049.188877532], [350087.7688520507, 7398478.135577424], [350133.30000922736, 7398559.471660195], [350050.2438502719, 7398989.33140262], [350083.20556291874, 7399223.918609703]]","[0, 45, 180, 225, 315, 360]"
"[[349638.23327827174, 7399204.882131317], [349592.2502791847, 7399020.797426544], [349638.23327827174, 7399204.882131317], [349664.67272524734, 7399310.5535213165], [350065.0090863012, 7399440.402060006], [350065.0090863012, 7399440.402060006]]","[0, 32, 178, 223, 313, 313]"
"[[348604.3737828379, 7395912.6373847965], [348604.3737828379, 7395912.6373847965], [348604.3737828379, 7395912.6373847965], [348604.3737828379, 7395912.6373847965], [348604.3737828379, 7395912.6373847965], [348604.3737828379, 7395912.6373847965]]","[0, 45, 225, 225, 315, 360]"
"[[348604.3737828379, 7395912.6373847965], [348604.3737828379, 7395912.6373847965], [348604.3737828379, 7395912.6373847965], [348604.3737828379, 7395912.6373847965], [348604.3737828379, 7395912.6373847965], [348604.3737828379, 7395912.6373847965]]","[0, 45, 180, 225, 315, 360]"
"[[348604.3737828379, 7395912.6373847965], [348604.3737828379, 7395912.6373847965], [348604.3737828379, 7395912.6373847965], [348604.3737828379, 7395912.6373847965], [348604.3737828379, 7395912.6373847965], [348604.3737828379, 7395912.6373847965]]","[0, 45, 180, 225, 315, 360]"
"[[348604.3737828379, 7395912.6373847965], [348604.3737828379, 7395912.6373847965], [348604.3737828379, 7395912.6373847965], [348604.3737828379, 7395912.6373847965], [348604.3737828379, 7395912.6373847965], [348604.3737828379, 7395912.6373847965]]","[0, 45, 157, 202, 292, 337]"
"[[348604.3737828379, 7395912.6373847965], [348604.3737828379, 7395912.6373847965], [348604.3737828379, 7395912.6373847965], [348604.3737828379, 7395912.6373847965], [348604.3737828379, 7395912.6373847965], [348604.3737828379, 7395912.6373847965]]","[0, 46, 181, 226, 316, 361]"
"[[349433.30440082727, 7396289.576274803], [349433.30440082727, 7396289.576274803], [349580.7825107649, 7396705.939192665], [349554.0123717707, 7396942.50414173], [349485.5300361548, 7397321.818631495], [349452.37665997044, 7397732.213509789]]","[0, 45, 180, 225, 315, 360]"
"[[328925.9251570187, 7404591.148922864], [328903.80560300295, 7404707.321276689], [328245.9640677333, 7405580.198054684], [328096.4054745133, 7405536.668171216], [327819.860120737, 7405539.025161978], [327810.910021676, 7405539.806376178]]","[0, 30, 207, 251, 295, 339]"
"[[327883.63281449233, 7405350.437591245], [327883.63281449233, 7405350.437591245], [327883.63281449233, 7405350.437591245], [327883.63281449233, 7405350.437591245], [327859.21788736543, 7405358.624421923], [327727.1112417439, 7405409.795968203]]","[0, 44, 177, 221, 310, 354]"
"[[326339.29932607745, 7397900.576672774], [326569.03675940563, 7398224.545005579], [327396.2756408677, 7398656.399651337], [327521.6625323235, 7399300.685246738], [327565.9803550975, 7399491.580811102], [327565.9803550975, 7399491.580811102]]","[0, 36, 180, 235, 290, 335]"
"[[327883.63281449233, 7405350.437591245], [327883.63281449233, 7405350.437591245], [327883.63281449233, 7405350.437591245], [327883.63281449233, 7405350.437591245], [327883.63281449233, 7405350.437591245], [327883.63281449233, 7405350.437591245]]","[0, 45, 178, 222, 311, 356]"
"[[328859.95794772904, 7405172.543970676], [328812.81840877805, 7405481.5654880665], [328118.61595915165, 7405518.210415273], [328023.07878948713, 7405597.666782376], [327752.829800397, 7405490.947933532], [327835.49719058495, 7405534.390475301]]","[0, 41, 173, 228, 261, 305]"
"[[326988.8256046181, 7400017.281024565], [326896.47146500874, 7399950.444122887], [326631.2978301203, 7400480.434104081], [326659.74814943067, 7400689.904428419], [326786.2088550088, 7400945.166365538], [326899.57153921964, 7401055.5151032545]]","[0, 44, 177, 221, 310, 354]"
"[[327066.75765904214, 7397585.800685633], [326834.87360083364, 7397622.823309822], [326323.5011593525, 7397582.297910987], [326323.5011593525, 7397582.297910987], [326268.88299794385, 7397717.326671462], [326569.03675940563, 7398224.545005579]]","[0, 44, 178, 222, 266, 327]"
"[[327145.37281210884, 7400056.437488087], [327112.0405347966, 7400132.908840702], [326851.28977632674, 7400104.746987924], [326682.27214552194, 7400305.142769804], [326659.0545311246, 7400324.998255034], [326639.9143926528, 7400574.622770239]]","[0, 32, 209, 253, 299, 342]"
"[[328685.429634804, 7403357.9264576845], [328705.6411600335, 7403411.9886276815], [328486.84410343796, 7403876.319348615], [328499.2214465486, 7404082.937069977], [328736.0113518758, 7404522.8445927035], [328830.4451479538, 7404547.0646802625]]","[0, 46, 180, 224, 313, 357]"
"[[327902.5099592912, 7405343.957961436], [327902.5099592912, 7405343.957961436], [327902.5099592912, 7405343.957961436], [327902.5099592912, 7405343.957961436], [327902.5099592912, 7405343.957961436], [327902.5099592912, 7405343.957961436]]","[0, 44, 221, 221, 310, 355]"
"[[328262.17807016696, 7405602.704381987], [328150.436856925, 7405493.828873564], [327715.743179146, 7405481.763790025], [327852.60933858773, 7405525.952024771], [327633.4582799955, 7405388.319426987], [327722.0609065716, 7405365.545825046]]","[0, 44, 177, 221, 310, 354]"
"[[327883.63281449233, 7405350.437591245], [327883.63281449233, 7405350.437591245], [327883.63281449233, 7405350.437591245], [327883.63281449233, 7405350.437591245], [327883.63281449233, 7405350.437591245], [327883.63281449233, 7405350.437591245]]","[0, 44, 177, 222, 311, 355]"
"[[327926.4924197254, 7405329.065372322], [327926.4924197254, 7405329.065372322], [329495.16332602786, 7397293.101400207], [329340.1170771959, 7397303.755933845], [329281.3173533352, 7397249.133400333], [329134.447680178, 7397123.514409572]]","[0, 52, 222, 253, 311, 355]"
